,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/AP/MIS/108659/2019,AP EG CON 06 2019 1051,‘’Development of Transit Storage Yard and Material Receiving & Dispatch Centre’’,MS ONGC,EC Granted - Processed offline,EC,
1,2,SIA/AP/IND2/38060/2018,AP GNT IND 11 2018 724,M/s. Sanjeev Life Sciences,SANJEEV LIFE SCIENCES,EC Granted - Processed offline,EC,
2,3,SIA/AP/MIN/1879/2015,AP CTR 557 MIN 09 2015,Kishore Granites,KISHORE GRANITES,EC Granted,EC,
3,4,SIA/AP/MIN/30833/2015,CTR 560 MIN 09 2015,"M/s VSS Granites ,0.676 Ha of Black Granite Quarry,Sy No:1/14 of Rangasamudram Village,P.T.M.Mandal,Chittoor District.AP",VSS GRANITES,EC Granted,EC,
4,5,SIA/AP/MIN/30836/2015,ANT 186 MIN 09 2015,Colour Granite Mining (3.00 ha),S SHABANA,EC Granted,EC,
5,6,SIA/AP/MIN/30894/2015,,"Mining Lease for Dolomite of 
 D Lakshmi Devi",NAGI REDDY CONSTRUCTIONS,TransferToDEIAA,EC,
6,7,SIA/AP/MIN/30907/2015,AP KNL 200 MIN 09 2015,"Colour Granite Quarry of
 A. Krishna",A KRISHNA,EC Granted,EC,
7,8,SIA/AP/MIN/70136/2017,,Sangam Satya Rao,SANGAM SATYA,Delisted,EC,
8,9,SIA/AP/NCP/16876/2016,AP VSP CON 02 2016 46,VISAKHA VALLEY RESORTS & ESTATES,VISAKHA VALLEY RESORTS AND ESTATES PVT LTD,EC Granted,EC,
9,10,SIA/AP/MIN/152337/2020,AP MIN NLR 05 2020 1854,M/s. Andhra Pradesh Mineral Development Corporation Limited,THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED,Delisted,EC,
0,11,SIA/AP/MIN/179246/2020,AP ANT MIN 10 2020 2263,Theetakal Sand Reach-II,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
1,12,SIA/AP/MIN/166959/2020,AP MIN  KRI 08 2020 2043,M. Vinod Kumar - Gravel,M. VINOD KUMAR,EC Granted - Processed offline,EC,
2,13,SIA/AP/MIN/151565/2020,AP MIN EG 05 2020 1829,Vakalagaruvu Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,
3,14,SIA/AP/NCP/30422/2018,AP ANT CON 12 2018 788,Development of Industrial Park near Gudipalli,ANDHRA PRADESH INDUSTRIAL INFRA STRUCTURE CORPORATION,EC Granted,EC,
4,15,SIA/AP/MIN/42291/2019,AP KNL MIN 09 2019 1229,N.Kalandar,KALANDAR,EC Granted - Processed offline,EC,
5,16,SIA/AP/MIN/42359/1900,AP KDP MIN 09 2019 1230,Sri L. Rajagopal Reddy,SRI L. RAJAGOPAL REDDY,EC Granted - Processed offline,EC,
6,17,SIA/AP/MIN/42371/1900,AP NLR MIN 10 2019 1338,M/s. Simhadri Enterprises,M/S. SIMHADRI ENTERPRISES,EC Granted - Processed offline,EC,
7,18,SIA/AP/MIN/19862/2017,AP ANT MIN 09 2017 452,Gudipadu Limestone Block of M/s. Penna Cement Industries Limited,PENNA CEMENT INDUSTRIES LTD,EC Granted - Processed offline,EC,
8,19,SIA/AP/MIN/71467/2017,AP NLR MIN 01 2018 497,Sri N. Gandhi,SRI N. GANDHI,EC Granted,EC,
9,20,SIA/AP/NCP/69491/2017,,"High Court Building Project in Amaravati Government Complex, Amaravati, Andhra Pradesh.",ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY AND CAPITAL AUTHORITY,Delisted,EC,
0,21,SIA/AP/MIN/56957/2019,AP ANT MIN 10 2019 1364,MANNA INDUSTRIES LIMITED,MANNA INDUSTRIES LIMITED,EC Granted - Processed offline,EC,
1,22,SIA/AP/MIN/146153/2020,AP EG MIN   02 2020 1747,Sri N. Ganesh,SRI N GANESH,EC Granted - Processed offline,EC,
2,23,SIA/AP/MIN/134324/2019,AP ANT MIN   12 2019 1570,Sri. G.Balaji,SRI G BALAJI,EC Granted - Processed offline,EC,
3,24,SIA/AP/MIN/40970/2019,AP GNT MIN 08 2019 1099,DIDUGU-2 SAND REACH,THE DEPUTY DIRECTOR OF MINES GUNTUR,EC Granted - Processed offline,EC,
4,25,SIA/AP/MIN/41101/2019,AP ANT MIN 08 2019 1091,Proposed Ordinary Sand Mine in Ajjaiahdoddi Sand Reach,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
5,26,SIA/AP/MIN/41103/2019,AP ANT MIN 08 2019 1093,Proposed Ordinary Sand Mine in Kannepalli Sand Reach - I,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
6,27,SIA/AP/MIN/181050/2020,AP ANT  MIN 10 2020 2296,Mallameedapalli White Quartz Mine,SRI. E. ANJANEYULU,EC Granted,EC,
7,28,SIA/AP/MIN/181507/2020,AP ANT  MIN 11 2020 2252,Govindaiahdoddi Sand Reach,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
8,29,SIA/AP/MIN/181537/2020,AP EG  MIN 11 2020 2259,"Velicheru  1 Sand Reach, 4.56Ha","COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,
9,30,SIA/AP/MIN/71172/2017,AP KNL MIN 01 2018 468,A.R. NAGARAJU-11.50 HA,AR NAGARAJU,EC Granted,EC,
0,31,SIA/AP/IND2/170438/2020,AP VSP   IND 09 2020 2091,M/s Agrata Lab Private Ltd,M/S. AGRATA LAB PRIVATE LTD,EC Granted,EC,
1,32,SIA/AP/MIN/63725/2017,AP NLR MIN 10 2016 217,A.V.S Mining Company,A V S MINING COMPANY,Delisted,EC,
2,33,SIA/AP/MIN/55672/2016,AP CTR MIN 06 2016 115,"M/s. Yak Granite Industries Private Limited
(Mining of Black Granite – 5.547 Ha (EXISTING))",YAK GRANITE INDUSTRIES PRIVATE LIMITED,Rejection Letter Granted,EC,
3,34,SIA/AP/NCP/55728/2016,AP GNT CON 06 2016 116,Sudeshna Alpine Heights by M/s. Sahiti Infratec Ventures India Pvt. Ltd.,SAHITI INFRA TEC VENTURES INDIA PVT LTD,EC Granted,EC,
4,35,SIA/AP/MIN/88301/2018,AP SKM MIN  01 2019 806,Sri Gandi Suryanarayana Colour Granite,SRI GANDI SURYANARAYANA,EC Granted,EC,
5,36,SIA/AP/MIN/74792/2018,,Sri S. Suresh Kumar,SRI S. SURESH KUMAR,Delisted,EC,
6,37,SIA/AP/MIN/185850/2020,AP SKLM MIN 12 2020 2561,Lingamnaidupeta -Thimadam Sand Reach,"MEMBER DLSC,ADM&G, SIKAKULAM",EC Granted - Processed offline,EC,
7,38,SIA/AP/MIN/181101/2020,AP KRI  MIN 10 2020 2231,Eturu-1 sand reach,ADM G NANDIGAMA,EC Granted - Processed offline,EC,
8,39,SIA/AP/MIN/127157/2019,AP SKLM MIN 11 2019 1445,Venkatapuram Sand Reach,MEMBER CONVENER DY. DIRECTOR OF MINES,EC Granted - Processed offline,EC,
9,40,SIA/AP/IND2/172097/2020,AP KNL  IND 09 2020 2113,Establish of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit of capacity 8.06 TPD by M/s. Agrisol (India) Pvt. Ltd. Unit II,AGRISOL (INDIA) PVT. LTD. UNIT II,EC Granted,EC,
0,41,SIA/AP/MIN/230499/2021,AP VZM MIN   9 2021 3489,Sri Koneru Murali,SRI. KONERU MURALI,EC Granted,EC,
1,42,SIA/AP/IND2/199862/2021,AP  WG IND 2  2021 2924,Proposed to establish Bulk Drugs Manufacturing Unit by MRR Labs Pvt. Ltd.,PROPOSED BULK DRUGS AND DRUG INTERMEDIATES MANUFACTURING UNIT BY MRR LABS PVT.LTD,EC Granted,EC,
2,43,SIA/AP/IND3/61160/2021,AP     WG  IND 2 2021 3148,Proposed to establish Bulk Drugs Manufacturing Unit by Tibro Pharmaceuticals Pvt. Ltd.,TIBRO PHARMACEUTICALS PRIVATE LIMITED,Delisted,EC,
3,44,SIA/AP/MIN/60679/2016,AP VSP MIN 11 2016 251,"M/s.Sri Lakshmi Narasimha Granites, 18.00 Hect of Colour Granites Quarry in Sy No: 3 (Old Sy No: 01) Vuralova Hill,V.No.55 of V. Madugula Mandal,Visakhapatnam (D),A.P.",MS SRI LAKSHMI NARASIMHA GRANITES,EC Granted,EC,
4,45,SIA/AP/MIN/31463/2015,AP KNL 193 MIN 10 2015,"K.Chakrapani Reddy 4.868 Hec Dolomite & White shale mine located in sy.No: 641,642,644,645, Kommammarri V, Peapully M, Kurnool D",K CHAKRAPANI REDDY,Delisted,EC,
5,46,SIA/AP/MIN/136371/2020,AP MIN PKM 07 2019 1083,M/s Midwest Granite Private Limited,MIDWEST GRANITE PRIVATE LIMITED,EC Granted - Processed offline,EC,
6,47,SIA/AP/MIN/167659/2020,AP MIN  GNT  08 2020 2053,M/s Sree Venkateswara Mines - Limestone (Minor),M/S SRI VENKATESWARA MINES,EC Granted - Processed offline,EC,
7,48,SIA/AP/MIN/35547/2019,AP KDP MIN 04 2019 957,Sri. P. Sudhakar,SRI. P. SUDHAKAR,EC Granted - Processed offline,EC,
8,49,SIA/AP/MIS/51221/2016,AP VSP CON 03 2016 52,LANSUM SQUARE by M/s LANSUM PROPERTIES LLP,LAMSUM PROPERTIES LLP,EC Granted,EC,
9,50,SIA/AP/MIN/51788/2016,,Smt. G. E. Prabhavathi - 1.0Ha,G E PRABHAVATHI,TransferToDEIAA,EC,
0,51,SIA/AP/MIN/20304/2017,AP ANT MIN 09 2017 406,Sri K. Ravi Shankar,SRI K. RAVI SHANKAR,EC Granted,EC,
1,52,SIA/AP/MIS/72882/2018,AP VSP CON 02 2018 512,M/s. SAI PRIYA BEACH RESORTS,SAI PRIYA BEACH RESORTS,EC Granted,EC,
2,53,SIA/AP/MIN/55672/2016,AP CTR MIN 06 2016 115,"M/s. Yak Granite Industries Private Limited
(Mining of Black Granite – 5.547 Ha (EXISTING))",YAK GRANITE INDUSTRIES PRIVATE LIMITED,Rejection Letter Granted,EC,
3,54,SIA/AP/NCP/55728/2016,AP GNT CON 06 2016 116,Sudeshna Alpine Heights by M/s. Sahiti Infratec Ventures India Pvt. Ltd.,SAHITI INFRA TEC VENTURES INDIA PVT LTD,EC Granted,EC,
4,55,SIA/AP/MIN/88301/2018,AP SKM MIN  01 2019 806,Sri Gandi Suryanarayana Colour Granite,SRI GANDI SURYANARAYANA,EC Granted,EC,
5,56,SIA/AP/MIN/142507/2020,AP PKM MIN   02 2020 1740,Sk Mohammad Rafi (Road Metal & Gravel),SK.MOHAMMAD RAFI,EC Granted - Processed offline,EC,
6,57,SIA/AP/MIN/30353/2015,CTR 549 MIN 08 2015,Sri P. Sreedhar,P SREEDHAR,EC Granted,EC,
7,58,SIA/AP/MIN/31602/2015,AP KNL 221 MIN 10 2015,Smt.Jayalakshmi Hegde,JAYALAKSMIHEGDE,EC Granted,EC,
8,59,SIA/AP/MIN/219231/2021,AP  ANT MIN    7 2021 3331,"M/s Anuraj Minerals, Mg.Ptr: Smt.Lakshmamma",ANURAJ MINERALS 2.000,EC Granted,EC,
9,60,SIA/AP/MIN/181345/2020,AP KRI MIN 10 2020 2240,kollikallu & 661,NANDIGAMAADMG,EC Granted - Processed offline,EC,
0,61,SIA/AP/MIN/38332/2018,AP CTR MIN 07 2019 1173,Black Granite Quarry,M/S. SRI LAKSHMI GRANITES & MINERALS,EC Granted - Processed offline,EC,
1,62,SIA/AP/MIN/38563/2019,AP PKM MIN 07 2019 1061,M/s D. Mining,M/S. D. MINING,EC Granted - Processed offline,EC,
2,63,SIA/AP/MIN/179357/2020,AP PKM MIN 10 2020 2265,M/s. N.V. Exports,M/S. N.V. EXPORTS.,EC Granted - Processed offline,EC,
3,64,SIA/AP/MIN/77133/2018,,SRI GANGAMMATHALLI MINERALS,GEO ENVIRO CONSULTANTS,Delisted,EC,
4,65,SIA/AP/MIN/77178/2018,AP VSP MIN 09 2018 679,Sri M. S. Venkatesh- 4.50ha,SRI M. S. VENKATESH,EC Granted,EC,
5,66,SIA/AP/IND2/153518/2020,AP IND  NLR 07 2020 1971,"Bulk Drug & Intermediates Manufacturing Unit by M/s Divi’s Laboratories Limited at Krishnapatnam Industrial Area, Kothapatnam (V), Kota (M), SPSR Nellore (D), Andhra Pradesh",DIVIS LABORATORIES LIMITED,EC Granted - Processed offline,EC,
6,67,SIA/AP/MIN/34539/2015,AP SKM MIN 04 2019 947,M KARTHIKEYAN-CG MINE OWNER,M KARTHIKEYAN CG MINE OWNER,EC Granted - Processed offline,EC,
7,68,SIA/AP/MIN/37267/2019,AP EG MIN 06 2019 1010,PULIDINDI-2 SAND REACH,ASST DIRECTOR OF MINES AND GEOLOGY RJY,EC Granted - Processed offline,EC,
8,69,SIA/AP/MIN/59071/2016,AP SKM MIN 09 2016 210,M/s Madhucon Granites Ltd,MS MADHUCON GRANITES  LTD,EC Granted,EC,
9,70,SIA/AP/MIN/34815/2019,AP KRI MIN 04 2019 927,Sri Behara Sai Babu,SRI BEHARA SAI BABU,EC Granted - Processed offline,EC,
0,71,SIA/AP/MIN/58767/2016,,M/s Sri Durga Mining Company,SRI DURGA MINING COMPANY,TransferToDEIAA,EC,
1,72,SIA/AP/NCP/65455/2017,AP GNT CON 06 2017 337,Samhitha Projects,SAMHITA PROJECTS,EC Granted,EC,
2,73,SIA/AP/MIN/44544/2019,AP GNT MIN 10 2019 1252,BOMMUVANIPALEM-2SAND REACH,ADMG GUNTUR,EC Granted - Processed offline,EC,
3,74,SIA/AP/MIN/30385/2015,AP VSP 184 MIN 09 2015,L Srinivas 7.89 ha,L SRINIVAS,EC Granted,EC,
4,75,SIA/AP/MIN/30423/2015,,M/s Sri Balaji Rocks,SRI BALAJI ROCKS,TransferToDEIAA,EC,
5,76,SIA/AP/MIN/30444/2015,KNL 192 MIN 09 2015,"Proposed Mining for M/s. Seven Hills Stones
–  Colour Granite Quarry",SEVEN HILLS STONES,EC Granted,EC,
6,77,SIA/AP/MIN/70071/2017,AP CTR MIN 10 2017 458,Smt B. Prathima,B VENKATARAMANA REDDY,EC Granted,EC,
7,78,SIA/AP/MIN/217544/2021,AP  NLR MIN  6 2021 3293,M/s. Sri Balajee Mines (QUARTZ in 4.957 Ha),M/S. SRI BALAJEE MINES,EC Granted,EC,
8,79,SIA/AP/MIN/217626/2021,AP MIN KRI 07 2020 2012,Road Metal and Gravel Quarry,SMT. BOLLAREDDY VIMALAREDDY,EC Granted - Processed offline,EC,
9,80,SIA/AP/MIN/219631/2021,AP  VZM MIN    7 2021 3346,Sri N.Sarath Kumar,SRI N.SARATH KUMAR,EC Granted,EC,
0,81,SIA/AP/MIN/191581/2021,AP CTR MIN 1  2021 2749,R.Venkata ramanadha swamy,VENKATARAMANADHASWAMY R,EC Granted,EC,
1,82,SIA/AP/MIN/130379/2019,AP KRI MIN  12 2019 1502,Akula Nagasudha (Temporary Permit For Gravel),AKULA NAGA SUDHA - 0.6677 HECT,Delisted,EC,
2,83,SIA/AP/MIN/30844/2015,,"Lime stone & Dolomite Mining of  
M.Harinatha Reddy",NAGI REDDY CONSTRUCTIONS,Delisted,EC,
3,84,SIA/AP/MIN/148787/2020,AP KRI MIN   03 2020  1778,Sri Ch. Naga Sankara Rao(Road Metal & Gravel),SRI CH. NAGA SANKARA RAO  - 0.810 HECT,EC Granted,EC,
4,85,SIA/AP/MIN/61372/2016,AP KNL MIN 01 2017 269,S.Venkata Rami Reddy Lime STone Mine-4.990 Ha.,VENKATA RAMI REDDY,EC Granted,EC,
5,86,SIA/AP/MIN/30903/2019,AP CTR MIN  02 2019 827,"M/s S S Granites at Bodabanda RF, Yadamari Mandal, Chittoor Dist",M/S S.S. GRANITES,EC Granted - Processed offline,EC,
6,87,SIA/AP/MIN/58466/2019,AP  SKLM  MIN 11 2020 2456,Sri L.Srinivas,SRI L.SRINIVAS,EC Granted - Processed offline,EC,
7,88,SIA/AP/MIN/140875/2020,AP NLR MIN 02 2020 1687,Ordinary River Sand-2.70(Suryapalem),ADMG NELLORE-2.70(SURYAPALEM),EC Granted - Processed offline,EC,
8,89,SIA/AP/MIN/140980/2020,AP ANT MIN 02 2020 1690,Road Metal & Building Stone Quarry of D. Siva Prasad,D SIVA PRASAD,EC Granted - Processed offline,EC,
9,90,SIA/AP/MIN/63231/2017,AP KNL MIN 03 2017 311,B. Harinatha Reddy,B HARINATHA REDDY,EC Granted,EC,
0,91,SIA/AP/MIN/128300/2019,AP NLR MIN  11 2019 1484,M/s. Green Mining Company,M/S GREEN MINING COMPANY,EC Granted - Processed offline,EC,
1,92,SIA/AP/MIN/58441/2016,,Sri. S.A. Basha,SA BASHA,TransferToDEIAA,EC,
2,93,SIA/AP/MIN/216584/2021,AP   KRI MIN  6 2021 3271,Ghantasala Ramesh Kumar,GHANTASALA RAMESH KUMAR,EC Granted,EC,
3,94,SIA/AP/MIN/216739/2021,AP  CTR MIN  6 2021 3277,D.Amaranadha Reddy - 2.992 (RM&BS),SRI D.AMARANADHAREDDY-2.992 HECTS,EC Granted,EC,
4,95,SIA/AP/MIN/194946/2021,AP EG MIN 1  2021 2813,Rayanapeta 1  Sand,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted,EC,
5,96,SIA/AP/MIN/218725/2021,,Smt. P. Lakshmi,SMT. P. LAKSHMI,WithdrawEC,EC,
6,97,SIA/AP/MIN/165335/2020,,Vemgiri and Kadiyapulanka Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",Delisted,EC,
7,98,SIA/AP/MIS/119807/2019,AP EG CON 09 2019 1293,M/s. SRI LUXMI TULASI DEVLOPERS LLP,SRI LUXMI TULASI DEVELOPERS LLP,EC Granted - Processed offline,EC,
8,99,SIA/AP/IND2/186156/2020,,Tibro Pharmaceuticals Private Limited,PROPOSED BULK DRUGS & DRUG INTERMEDIATES MANUFACTURING UNIT BY TIBRO PHARMACEUTICALS PVT. LTD.,WithdrawEC,EC,
9,100,SIA/AP/MIN/186161/2020,AP KRI MIN  12  2020 2619,ADMG-Vijayawada(madduru-1 sand reach),ADMG-VIJAYAWADA(MADDURU SAND REACH),EC Granted - Processed offline,EC,
0,101,SIA/AP/MIN/32657/2015,AP ANT 205 MIN 11 2015,Sri. S Gangulappa,S GANGULAPPA,EC Granted,EC,
1,102,SIA/AP/MIN/33872/2019,AP SKM MIN 03 2019 876,"ASSISTANT DIRECTOR OF MINES & GEOLOGY,SRIKAKULAM",ASSISTANT DIRECTOR OF MINES AND GEOLOGY SRIKAKULAM,EC Granted,EC,
2,103,SIA/AP/MIN/58558/2016,AP NLR MIN 08 2016 194,M/s Ceramic Raw Material Service Centre,CERAMIC RAW MATERIAL SERVICE CENTRE,Rejected - Processed offline,EC,
3,104,SIA/AP/MIN/139911/2020,AP KRI MIN 02 2020 1679,"M/s.SRK Stone Crusher(Road metal,Boulders& Gravel)",M/S SRK STONE CRUSHER -0.809 HECT,EC Granted - Processed offline,EC,
4,105,SIA/AP/MIN/139987/2020,AP NLR MIN  01 2020 1674,Damaramadugu Sand Reach Area,ADMG NELLORE -4.990 HECT (DAMARAMADUGU),EC Granted - Processed offline,EC,
5,106,SIA/AP/MIN/59099/2016,AP NLR MIN 09 2016 212,Sri Y.Janaki Rami Reddy,Y JANAKI RAMI REDDY,EC Granted,EC,
6,107,SIA/AP/NCP/20407/2017,AP GNT CON 09 2017 421,HoD Housing Project,ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY AND CAPITAL AUTHORITY,EC Granted,EC,
7,108,SIA/AP/MIN/34977/2019,,Sri Sudhakar Raju-Gravel Quarry,"SHRI. S. SUDHAKAR RAJU, GRAVEL QUARRY- 2.0 HA",Delisted,EC,
8,109,SIA/AP/MIN/35054/2019,AP KRI MIN 04 2019 929,G. Koteswari,G KOTESWARI,EC Granted - Processed offline,EC,
9,110,SIA/AP/MIN/35056/2019,AP CTR MIN 04 2019 930,Sri.P.Somasekhar,SRI. P.SOMASEKHAR,EC Granted - Processed offline,EC,
0,111,SIA/AP/MIN/183512/2020,AP  CTR  MIN 11 2020 2390,"M/s Manjunath Rocks, (Colour Granite in 3.529 Ha)",M/S MANJUNATH ROCKS,EC Granted,EC,
1,112,SIA/AP/MIN/185884/2020,AP SKLM MIN 12 2020 2565,Thamaram Sand Reach,"MEMBER DLSC,ADM&G, SIKAKULAM",EC Granted - Processed offline,EC,
2,113,SIA/AP/MIN/148716/2020,AP GNT MIN   03 2020  1777,Sri P.Narasimha Rao(Gravel),SRI .P.NARASIMHA RAO -2.4 HECT,EC Granted - Processed offline,EC,
3,114,SIA/AP/MIN/155926/2020,AP MIN  GNT 07 2020 1980,Smt R.Prakash Rani (Limestone (Minor)) Ex:1.497 Ha),PRAKASH RANI,EC Granted - Processed offline,EC,
4,115,SIA/AP/MIN/156628/2020,AP MIN VZM 06 2020 1923,M/s. Satya Deva Mines and Minerals,M/S. SATYA DEVA MINES AND MINERALS,EC Granted - Processed offline,EC,
5,116,SIA/AP/MIN/52136/2016,,Sri A Rama Brahamam,SRI A RAMA BRAHAMAM,TransferToDEIAA,EC,
6,117,SIA/AP/MIN/71695/2020,AP/VSP/MIN/02/2020/ 1677,"Road Metal, Building Stone and Gravel Quarry",SRI. K. KATYAYENI,EC Granted,EC,
7,118,SIA/AP/MIN/214939/2021,AP   ANT  MIN  6 2021 3242,"Road Metal, Building Stone & M Sand Quarry",SRI. HUDUGUR DINESH SWAMY,EC Granted - Processed offline,EC,
8,119,SIA/AP/MIN/188942/2020,AP CTR  MIN 12  2020 2704,SRI B. PRAVEEN KUMAR,SRI. B. PRAVEEN KUMAR,EC Granted,EC,
9,120,SIA/AP/MIN/35694/2015,,K.Srinu,K SRINU,TransferToDEIAA,EC,
0,121,SIA/AP/MIN/69828/2017,,Sri A. Srikiran-8.669ha,SRI A. SRIKIRAN,Delisted,EC,
1,122,SIA/AP/NCP/69839/2017,AP GNT CON 09 2017 444,AIS OFFICERS HOUSING PROJECT,ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY AND CAPITAL AUTHORITY,EC Granted,EC,
2,123,SIA/AP/MIN/69885/2017,,"Environmental Clearance for Quartz Mining in 11.101 (27.432 Acres) of Non-Forest Govt. Land bearing Sy. No. 2117, Talapula Village, Pileru Mandal, Chittoor District, Andhra Pradesh.",P. SUNDEEP REDDY,WithdrawEC,EC,
3,124,SIA/AP/IND2/176168/2020,AP SKLM   IND 11 2020 2337,"Expand the manufacturing capacity of new API’s from 510 TPM to 1425 TPM, Captive Power Plant from 3.0 MW to 6.5 MW by M/s. Hyacinths Pharma Pvt. Ltd",AUROBINDIO PHARMA LTD UNIT XI,EC Granted,EC,
4,125,SIA/AP/MIN/39311/2019,AP KNL MIN 07 2019 1187,Sri. B. Eswaraiah,SRI B ESWARAIAH,EC Granted - Processed offline,EC,
5,126,SIA/AP/MIN/39452/2019,AP ANT MIN 07 2019 1190,Mekalacheruvu White Quartz Mine,SRI P GURURAJ,EC Granted - Processed offline,EC,
6,127,SIA/AP/IND2/153518/2020,AP IND  NLR 07 2020 1971,"Bulk Drug & Intermediates Manufacturing Unit by M/s Divi’s Laboratories Limited at Krishnapatnam Industrial Area, Kothapatnam (V), Kota (M), SPSR Nellore (D), Andhra Pradesh",DIVIS LABORATORIES LIMITED,EC Granted - Processed offline,EC,
7,128,SIA/AP/MIN/29196/2003,AP KNL MIN 10 2018 708,Korumanipalle Limestone Mine – M/s. Penna cement industries limited industries limited,PENNA CEMENT INDUSTRIES LTD,EC Granted - Processed offline,EC,
8,129,SIA/AP/MIN/42739/2019,AP EG MIN 09 2019 1289,Sri. M.Rama Krishna,SRI.M.RAMA KRISHNA,EC Granted - Processed offline,EC,
9,130,SIA/AP/MIN/157115/2020,AP MIN PKM 06 2020 1927,Sri G. Ankamma Chowdary,SRI G. ANKAMMA CHOWDARY,Delisted,EC,
0,131,SIA/AP/MIN/181088/2020,AP ANT  MIN 10 2020 2297,D.Lakshmi,D. LAKSHMI,EC Granted,EC,
1,132,SIA/AP/MIN/138719/2020,AP KDP MIN  01 2020 1638,Sri M. Yella Reddy 3.0 ha,M YELLA REDDY,Delisted,EC,
2,133,SIA/AP/MIN/138752/2020,Please submit the cluster letter,Vemula Barytes Mines,VEMULA BARYTES MINE,Delisted,EC,
3,134,SIA/AP/MIN/183512/2020,AP  CTR  MIN 11 2020 2390,"M/s Manjunath Rocks, (Colour Granite in 3.529 Ha)",M/S MANJUNATH ROCKS,EC Granted,EC,
4,135,SIA/AP/MIN/72808/2018,AP ANT MIN 02 2018 501,M/s. Squadm Mines & Minerals Pvt. Ltd - 10 ha,SQUADM MINES AND MINERALS PVT LTD,EC Granted,EC,
5,136,SIA/AP/MIN/72841/2018,AP PKM MIN 02 2018 503,M/s Jaishree Industries Limited,JAISHREE INDUSTRIES LIMITED,EC Granted,EC,
6,137,SIA/AP/MIN/184206/2020,AP  GNT  MIN 11 2020 2410,Veerlapalem Sand Reach -4.784 Ha.,SAND REACHES,EC Granted - Processed offline,EC,
7,138,SIA/AP/MIN/139977/2020,AP NLR MIN  01 2020 1673,Srirangarajapuram sand reach-4.950ha,ADMG NELLORE -4.950HA(SRIRANGARAJAPURAM SAND REACH),EC Granted - Processed offline,EC,
8,139,SIA/AP/MIN/183559/2020,AP EG MIN 11 2020 2379,Atreyapuram- VI Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,
9,140,SIA/AP/MIN/184529/2020,AP  KRI  MIN 11 2020 2466,Penuganchiprolu - 4  sand reach,ADMG NANDIGAMA (PENUGACHIPROLU SAND REACH),EC Granted - Processed offline,EC,
0,141,SIA/AP/MIN/188535/2020,AP EG  MIN 12 2020 2598,Gommu koyagudem - III Sand Reach,"COLLECTOR AND CHAIRMAN, DLSC, EAST GODAVARI",EC Granted - Processed offline,EC,
1,142,SIA/AP/MIN/30639/2015,AP NLR 237 MIN 08 2015,"Silica Sand Mine of
Sri. P. Mahaboob Saheb
S/o. Nannea Saheb",SRI P MAHABOOB SAHEB,Delisted,EC,
2,143,SIA/AP/MIN/130572/2019,AP PKM MIN  12 2019 1505,Siva Mines -3.945 ha,SIVA MINES,EC Granted - Processed offline,EC,
3,144,SIA/AP/MIN/95386/2019,,"Environmental Clearance-Expansion of Colour Granite in 1.680 Ha. of Patta Land bearing Sy. No. 30/1 & 30/2 of Ramapuram Village, Gudipala Mandal, Chittoor District, A.P.","M/S. MADHU GRANITES, PROP. SRI. M. RAVINDRA BABU",Delisted,EC,
4,145,SIA/AP/MIN/165147/2020,AP MIN  ANT 07 2020 2025,Smt. Amilineni Saraswathi,SMT AMILINENI SARASWATHI,EC Granted - Processed offline,EC,
5,146,SIA/AP/MIN/40482/2019,AP PKM MIN 08 2019 1199,Sri ELCHURI RAVINDRA BABU,SRI ELCHURI RAVINDRA BABU,EC Granted - Processed offline,EC,
6,147,SIA/AP/MIN/40519/2019,AP KRI MIN 08 2019 1108,"Assistant Director of Mines & Geology, Nandigama",ADM G NANDIGAMA,EC Granted - Processed offline,EC,
7,148,SIA/AP/MIN/40574/2019,,M/s Deeshmitha GRANITES Partner R MOHAN Naidu,MSDEESHMITHAGRANITESPARTNERRMOHAN,WithdrawEC,EC,
8,149,SIA/AP/MIN/152397/2020,AP MIN NLR 05 2020 1851,M/s. Andhra Pradesh Mineral Development Corporation Limited (Mining of Silica Sand),THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED,Delisted,EC,
9,150,SIA/AP/MIN/152412/2020,AP MIN NLR   06 2020 1867,M/s. Andhra Pradesh Mineral Development Corporation Limited,THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED,Delisted,EC,
